,dates,times,orders,prices,staff
26,02-07-2021,14:30,"['Pour-over special', 'Coffee beans special 200', 'Pour-over normal', 'Pour-over special']","[200, 600, 100, 200]",Rambo
27,02-07-2021,14:42,"['Coffee beans 200', 'Pour-over normal']","[400, 100]",Rambo
28,02-07-2021,14:45,['Coffee beans 200'],[400],Rambo
29,02-07-2021,15:33,"['Flat white', 'Americano']","[70, 50]",Rambo
30,02-07-2021,16:50,['Pour-over normal'],[100],Rambo
31,02-07-2021,7:06,"['Espresso shot', 'Cappucino', 'Mocha']","[30, 70, 75]",Rambo
32,02-07-2021,7:10,"['Flat white', 'Latte']","[70, 70]",Rambo
33,02-07-2021,8:53,"['Latte', 'Coffee beans special 200']","[70, 600]",Rambo
34,02-07-2021,9:59,['Americano'],[50],Rambo
35,03-07-2021,10:36,['Pour-over special'],[200],Medse
36,03-07-2021,10:46,"['Coffee beans special 200', 'Flat white', 'Espresso shot']","[600, 70, 30]",Medse
37,03-07-2021,11:26,"['Flat white', 'Pour-over special']","[70, 200]",Medse
38,03-07-2021,12:48,['Flat white'],[70],Medse
39,03-07-2021,13:21,['Pour-over special'],[200],Medse
40,03-07-2021,13:53,['Pour-over special'],[200],Medse
41,03-07-2021,13:54,['Latte'],[70],Medse
42,03-07-2021,13:58,"['Latte', 'Flat white']","[70, 70]",Medse
43,03-07-2021,14:10,['Pour-over special'],[200],Medse
44,03-07-2021,14:28,"['Espresso shot', 'Coffee beans 200']","[30, 400]",Medse
45,03-07-2021,15:02,"['Flat white', 'Latte']","[70, 70]",Medse
46,03-07-2021,16:05,['Pour-over normal'],[100],Medse
47,03-07-2021,16:08,"['Espresso shot', 'Flat white', 'Pour-over normal']","[30, 70, 100]",Medse
48,03-07-2021,16:14,"['Americano', 'Americano']","[50, 50]",Medse
49,03-07-2021,16:22,['Americano'],[50],Medse
50,03-07-2021,16:23,['Espresso shot'],[30],Medse
51,03-07-2021,16:43,['Coffee beans 200'],[400],Medse
52,03-07-2021,7:22,['Coffee beans special 200'],[600],Medse
53,03-07-2021,7:46,['Pour-over special'],[200],Medse
54,03-07-2021,7:53,['Pour-over normal'],[100],Medse
55,03-07-2021,8:34,['Coffee beans special 200'],[600],Medse
56,03-07-2021,8:44,"['Americano', 'Coffee beans special 200', 'Pour-over normal', 'Espresso shot']","[50, 600, 100, 30]",Medse
57,03-07-2021,8:45,['Pour-over normal'],[100],Medse
58,03-07-2021,9:26,['Macchiato'],[75],Medse
59,03-07-2021,9:27,"['Coffee beans 200', 'Pour-over special']","[400, 200]",Medse
60,03-07-2021,9:45,['Americano'],[50],Medse
61,04-07-2021,10:26,"['Americano', 'Americano']","[50, 50]",Medse
62,04-07-2021,11:35,['Pour-over normal'],[100],Medse
63,04-07-2021,11:35,"['Pour-over normal', 'Americano']","[100, 50]",Medse
64,04-07-2021,11:46,['Mocha'],[75],Medse
65,04-07-2021,12:06,"['Cappucino', 'Pour-over special']","[70, 200]",Medse
66,04-07-2021,12:32,"['Pour-over special', 'Pour-over special']","[200, 200]",Medse
67,04-07-2021,12:34,['Pour-over normal'],[100],Medse
68,04-07-2021,12:39,"['Flat white', 'Espresso shot']","[70, 30]",Medse
69,04-07-2021,12:46,"['Americano', 'Pour-over special']","[50, 200]",Medse
70,04-07-2021,13:03,"['Mocha', 'Americano', 'Latte', 'Coffee beans special 200']","[75, 50, 70, 600]",Medse
71,04-07-2021,14:00,"['Americano', 'Coffee beans special 200']","[50, 600]",Medse
72,04-07-2021,14:06,"['Latte', 'Pour-over normal', 'Cappucino', 'Pour-over special']","[70, 100, 70, 200]",Medse
73,04-07-2021,14:57,['Pour-over normal'],[100],Medse
74,04-07-2021,15:08,['Pour-over normal'],[100],Medse
75,04-07-2021,16:09,['Pour-over normal'],[100],Medse
76,04-07-2021,16:39,['Espresso shot'],[30],Medse
77,04-07-2021,16:44,['Pour-over special'],[200],Medse
78,04-07-2021,16:54,"['Pour-over special', 'Flat white']","[200, 70]",Medse
79,04-07-2021,7:02,"['Mocha', 'Macchiato']","[75, 75]",Medse
80,04-07-2021,7:06,"['Cappucino', 'Cappucino']","[70, 70]",Medse
81,04-07-2021,8:48,"['Pour-over normal', 'Latte']","[100, 70]",Medse
82,04-07-2021,9:37,"['Pour-over special', 'Flat white', 'Americano']","[200, 70, 50]",Medse
83,04-07-2021,9:38,['Flat white'],[70],Medse
84,05-07-2021,10:05,"['Coffee beans 200', 'Mocha']","[400, 75]",Rambo
85,05-07-2021,10:43,"['Cappucino', 'Pour-over special']","[70, 200]",Rambo
86,05-07-2021,12:57,"['Pour-over special', 'Espresso shot']","[200, 30]",Rambo
87,05-07-2021,13:47,"['Latte', 'Latte']","[70, 70]",Rambo
88,05-07-2021,13:48,['Pour-over normal'],[100],Rambo
89,05-07-2021,15:09,"['Pour-over normal', 'Flat white', 'Flat white']","[100, 70, 70]",Rambo
90,05-07-2021,16:39,['Pour-over special'],[200],Rambo
91,05-07-2021,7:06,['Latte'],[70],Rambo
92,05-07-2021,8:30,"['Flat white', 'Americano']","[70, 50]",Rambo
93,05-07-2021,9:41,"['Cappucino', 'Espresso shot', 'Pour-over normal']","[70, 30, 100]",Rambo
94,05-07-2021,9:43,"['Flat white', 'Cappucino', 'Coffee beans 200']","[70, 70, 400]",Rambo
95,06-07-2021,10:32,['Pour-over special'],[200],Penguin
96,06-07-2021,10:48,"['Americano', 'Pour-over normal']","[50, 100]",Penguin
97,06-07-2021,13:10,['Flat white'],[70],Penguin
98,06-07-2021,13:27,"['Cappucino', 'Pour-over normal', 'Americano']","[70, 100, 50]",Penguin
99,06-07-2021,16:25,['Americano'],[50],Penguin
100,06-07-2021,16:31,"['Coffee beans special 200', 'Pour-over normal', 'Cappucino']","[600, 100, 70]",Penguin
101,06-07-2021,16:47,"['Macchiato', 'Mocha', 'Cappucino', 'Pour-over special']","[75, 75, 70, 200]",Penguin
102,06-07-2021,7:14,"['Mocha', 'Flat white', 'Pour-over special', 'Latte']","[75, 70, 200, 70]",Penguin
103,06-07-2021,9:12,"['Coffee beans special 200', 'Latte']","[600, 70]",Penguin
104,06-07-2021,9:13,"['Pour-over normal', 'Cappucino']","[100, 70]",Penguin
105,07-07-2021,11:43,"['Pour-over normal', 'Espresso shot', 'Macchiato']","[100, 30, 75]",Rambo
106,07-07-2021,14:58,"['Flat white', 'Cappucino']","[70, 70]",Rambo
107,07-07-2021,15:55,"['Flat white', 'Pour-over normal']","[70, 100]",Rambo
108,07-07-2021,7:11,"['Americano', 'Flat white', 'Latte']","[50, 70, 70]",Rambo
109,07-07-2021,8:13,['Pour-over special'],[200],Rambo
110,07-07-2021,8:38,"['Espresso shot', 'Pour-over normal']","[30, 100]",Rambo
111,07-07-2021,8:50,['Pour-over special'],[200],Rambo
112,08-07-2021,11:34,['Flat white'],[70],Penguin
113,08-07-2021,11:41,['Americano'],[50],Penguin
114,08-07-2021,13:17,['Latte'],[70],Penguin
115,08-07-2021,13:34,['Flat white'],[70],Penguin
116,08-07-2021,13:43,"['Pour-over special', 'Cappucino']","[200, 70]",Penguin
117,08-07-2021,14:11,"['Cappucino', 'Pour-over special']","[70, 200]",Penguin
118,08-07-2021,14:16,['Pour-over normal'],[100],Penguin
119,08-07-2021,14:21,"['Pour-over normal', 'Latte', 'Mocha', 'Americano']","[100, 70, 75, 50]",Penguin
120,08-07-2021,14:27,['Pour-over special'],[200],Penguin
121,08-07-2021,16:43,['Americano'],[50],Penguin
122,08-07-2021,7:34,"['Pour-over special', 'Pour-over normal']","[200, 100]",Penguin
123,08-07-2021,8:22,['Latte'],[70],Penguin
124,08-07-2021,9:05,"['Cappucino', 'Latte']","[70, 70]",Penguin
125,08-07-2021,9:47,"['Flat white', 'Coffee beans special 200']","[70, 600]",Penguin
126,09-07-2021,10:10,"['Coffee beans special 200', 'Cappucino', 'Pour-over normal']","[600, 70, 100]",Rambo
127,09-07-2021,10:25,"['Pour-over special', 'Pour-over normal']","[200, 100]",Rambo
128,09-07-2021,10:33,['Coffee beans 200'],[400],Rambo
129,09-07-2021,10:37,"['Espresso shot', 'Pour-over special']","[30, 200]",Rambo
130,09-07-2021,10:37,"['Coffee beans 200', 'Cappucino', 'Pour-over normal', 'Pour-over special', 'Pour-over normal']","[400, 70, 100, 200, 100]",Rambo
131,09-07-2021,11:28,['Mocha'],[75],Rambo
132,09-07-2021,12:03,['Latte'],[70],Rambo
133,09-07-2021,12:18,"['Espresso shot', 'Flat white', 'Cappucino', 'Americano']","[30, 70, 70, 50]",Rambo
134,09-07-2021,13:01,"['Flat white', 'Pour-over normal', 'Latte']","[70, 100, 70]",Rambo
135,09-07-2021,14:24,"['Espresso shot', 'Latte']","[30, 70]",Rambo
136,09-07-2021,14:25,"['Latte', 'Coffee beans 200', 'Coffee beans 200']","[70, 400, 400]",Rambo
137,09-07-2021,15:36,['Cappucino'],[70],Rambo
138,09-07-2021,16:15,['Cappucino'],[70],Rambo
139,09-07-2021,16:49,"['Latte', 'Pour-over special']","[70, 200]",Rambo
140,09-07-2021,16:50,['Pour-over normal'],[100],Rambo
141,09-07-2021,7:24,['Cappucino'],[70],Rambo
142,09-07-2021,7:29,['Cappucino'],[70],Rambo
143,09-07-2021,7:41,['Mocha'],[75],Rambo
144,09-07-2021,8:00,"['Mocha', 'Flat white']","[75, 70]",Rambo
145,09-07-2021,8:39,['Latte'],[70],Rambo
146,09-07-2021,8:52,['Pour-over normal'],[100],Rambo
147,09-07-2021,9:05,['Mocha'],[75],Rambo
148,09-07-2021,9:07,['Espresso shot'],[30],Rambo
149,09-07-2021,9:45,['Americano'],[50],Rambo
150,09-07-2021,9:56,['Coffee beans 200'],[400],Rambo
151,10-07-2021,10:02,['Flat white'],[70],Medse
152,10-07-2021,12:00,['Pour-over special'],[200],Medse
153,10-07-2021,15:15,"['Mocha', 'Pour-over normal']","[75, 100]",Medse
154,10-07-2021,16:58,"['Pour-over normal', 'Americano', 'Latte', 'Pour-over special']","[100, 50, 70, 200]",Medse
155,10-07-2021,7:20,"['Pour-over normal', 'Latte']","[100, 70]",Medse
156,10-07-2021,7:43,['Mocha'],[75],Medse
157,11-07-2021,10:56,"['Pour-over special', 'Coffee beans special 200', 'Espresso shot', 'Pour-over normal']","[200, 600, 30, 100]",Medse
158,11-07-2021,10:57,['Pour-over normal'],[100],Medse
159,11-07-2021,11:32,"['Americano', 'Cappucino', 'Latte', 'Latte', 'Pour-over normal']","[50, 70, 70, 70, 100]",Medse
160,11-07-2021,12:12,['Cappucino'],[70],Medse
161,11-07-2021,12:19,"['Latte', 'Cappucino', 'Pour-over special', 'Latte', 'Pour-over normal']","[70, 70, 200, 70, 100]",Medse
162,11-07-2021,12:34,"['Flat white', 'Latte', 'Pour-over normal', 'Pour-over special', 'Pour-over normal']","[70, 70, 100, 200, 100]",Medse
163,11-07-2021,13:29,['Pour-over special'],[200],Medse
164,11-07-2021,14:04,"['Pour-over special', 'Pour-over special']","[200, 200]",Medse
165,11-07-2021,14:49,['Latte'],[70],Medse
166,11-07-2021,15:35,['Pour-over special'],[200],Medse
167,11-07-2021,15:45,"['Pour-over normal', 'Cappucino']","[100, 70]",Medse
168,11-07-2021,7:40,['Latte'],[70],Medse
169,11-07-2021,7:55,['Americano'],[50],Medse
170,11-07-2021,8:05,['Pour-over normal'],[100],Medse
171,11-07-2021,8:12,"['Coffee beans 200', 'Cappucino']","[400, 70]",Medse
172,11-07-2021,8:23,['Coffee beans 200'],[400],Medse
173,11-07-2021,8:44,"['Flat white', 'Flat white', 'Mocha']","[70, 70, 75]",Medse
174,11-07-2021,8:55,"['Latte', 'Mocha', 'Latte', 'Macchiato', 'Flat white']","[70, 75, 70, 75, 70]",Medse
175,11-07-2021,9:05,"['Mocha', 'Espresso shot']","[75, 30]",Medse
176,11-07-2021,9:55,['Flat white'],[70],Medse
177,12-07-2021,10:20,"['Flat white', 'Latte', 'Espresso shot']","[70, 70, 30]",Rambo
178,12-07-2021,10:33,['Americano'],[50],Rambo
179,12-07-2021,11:07,"['Latte', 'Pour-over normal']","[70, 100]",Rambo
180,12-07-2021,11:09,"['Flat white', 'Pour-over normal']","[70, 100]",Rambo
181,12-07-2021,11:24,"['Coffee beans special 200', 'Pour-over normal']","[600, 100]",Rambo
182,12-07-2021,11:46,['Latte'],[70],Rambo
183,12-07-2021,12:27,"['Pour-over normal', 'Cappucino']","[100, 70]",Rambo
184,12-07-2021,13:45,"['Pour-over normal', 'Flat white', 'Flat white']","[100, 70, 70]",Rambo
185,12-07-2021,14:50,['Cappucino'],[70],Rambo
186,12-07-2021,15:45,['Americano'],[50],Rambo
187,12-07-2021,16:03,"['Pour-over special', 'Americano']","[200, 50]",Rambo
188,12-07-2021,16:18,"['Pour-over normal', 'Pour-over special', 'Pour-over normal', 'Pour-over normal', 'Latte']","[100, 200, 100, 100, 70]",Rambo
189,12-07-2021,16:29,['Pour-over normal'],[100],Rambo
190,12-07-2021,16:35,['Latte'],[70],Rambo
191,12-07-2021,16:43,"['Coffee beans 200', 'Cappucino']","[400, 70]",Rambo
192,12-07-2021,7:13,"['Cappucino', 'Mocha']","[70, 75]",Rambo
193,12-07-2021,7:44,['Americano'],[50],Rambo
194,12-07-2021,8:47,"['Mocha', 'Cappucino']","[75, 70]",Rambo
195,13-07-2021,11:18,['Pour-over special'],[200],Penguin
196,13-07-2021,12:00,"['Pour-over normal', 'Americano']","[100, 50]",Penguin
197,13-07-2021,12:21,"['Pour-over normal', 'Flat white']","[100, 70]",Penguin
198,13-07-2021,12:48,"['Latte', 'Latte']","[70, 70]",Penguin
199,13-07-2021,13:01,"['Coffee beans 200', 'Latte']","[400, 70]",Penguin
200,13-07-2021,7:14,"['Coffee beans special 200', 'Cappucino', 'Pour-over special']","[600, 70, 200]",Penguin
201,13-07-2021,7:16,['Espresso shot'],[30],Penguin
202,13-07-2021,7:43,"['Latte', 'Flat white', 'Latte']","[70, 70, 70]",Penguin
203,13-07-2021,9:13,['Cappucino'],[70],Penguin
204,13-07-2021,9:41,['Coffee beans special 200'],[600],Penguin
205,13-07-2021,9:48,"['Espresso shot', 'Coffee beans 200', 'Coffee beans special 200', 'Pour-over normal', 'Latte']","[30, 400, 600, 100, 70]",Penguin
206,13-07-2021,9:58,['Americano'],[50],Penguin
207,13-07-2021,9:59,"['Pour-over special', 'Cappucino']","[200, 70]",Penguin
208,14-07-2021,10:18,['Mocha'],[75],Rambo
209,14-07-2021,10:49,['Cappucino'],[70],Rambo
210,14-07-2021,11:00,['Americano'],[50],Rambo
211,14-07-2021,11:15,['Pour-over special'],[200],Rambo
212,14-07-2021,12:38,"['Pour-over special', 'Pour-over normal']","[200, 100]",Rambo
213,14-07-2021,14:03,['Flat white'],[70],Rambo
214,14-07-2021,14:26,['Pour-over normal'],[100],Rambo
215,14-07-2021,14:57,"['Pour-over normal', 'Flat white', 'Cappucino']","[100, 70, 70]",Rambo
216,14-07-2021,15:08,"['Coffee beans special 200', 'Macchiato']","[600, 75]",Rambo
217,14-07-2021,8:58,['Flat white'],[70],Rambo
218,14-07-2021,9:04,['Pour-over normal'],[100],Rambo
219,14-07-2021,9:13,['Espresso shot'],[30],Rambo
220,14-07-2021,9:47,"['Latte', 'Flat white', 'Espresso shot', 'Pour-over normal', 'Coffee beans special 200']","[70, 70, 30, 100, 600]",Rambo
221,15-07-2021,10:51,['Flat white'],[70],Penguin
222,15-07-2021,11:23,['Pour-over special'],[200],Penguin
223,15-07-2021,11:39,"['Pour-over normal', 'Macchiato']","[100, 75]",Penguin
224,15-07-2021,12:07,"['Coffee beans 200', 'Cappucino']","[400, 70]",Penguin
225,15-07-2021,12:19,"['Mocha', 'Americano', 'Latte', 'Pour-over normal', 'Latte']","[75, 50, 70, 100, 70]",Penguin
226,15-07-2021,13:02,"['Latte', 'Pour-over normal', 'Pour-over special', 'Cappucino']","[70, 100, 200, 70]",Penguin
227,15-07-2021,13:07,"['Flat white', 'Pour-over special']","[70, 200]",Penguin
228,15-07-2021,13:08,['Cappucino'],[70],Penguin
229,15-07-2021,13:41,"['Coffee beans 200', 'Cappucino']","[400, 70]",Penguin
230,15-07-2021,14:11,"['Pour-over special', 'Pour-over normal', 'Cappucino']","[200, 100, 70]",Penguin
231,15-07-2021,14:14,['Pour-over special'],[200],Penguin
232,15-07-2021,14:23,"['Pour-over normal', 'Pour-over normal', 'Pour-over normal', 'Pour-over special']","[100, 100, 100, 200]",Penguin
233,15-07-2021,14:28,['Pour-over normal'],[100],Penguin
234,15-07-2021,14:39,"['Macchiato', 'Flat white', 'Pour-over normal']","[75, 70, 100]",Penguin
235,15-07-2021,14:52,['Pour-over special'],[200],Penguin
236,15-07-2021,15:15,['Pour-over special'],[200],Penguin
237,15-07-2021,15:29,['Latte'],[70],Penguin
238,15-07-2021,16:19,"['Pour-over special', 'Espresso shot', 'Pour-over normal', 'Latte', 'Pour-over normal']","[200, 30, 100, 70, 100]",Penguin
239,15-07-2021,16:58,['Americano'],[50],Penguin
240,15-07-2021,7:35,['Latte'],[70],Penguin
241,15-07-2021,8:08,"['Flat white', 'Coffee beans special 200', 'Flat white']","[70, 600, 70]",Penguin
242,15-07-2021,8:09,['Coffee beans special 200'],[600],Penguin
243,15-07-2021,8:40,['Coffee beans special 200'],[600],Penguin
244,15-07-2021,8:49,['Coffee beans 200'],[400],Penguin
245,15-07-2021,8:59,['Pour-over special'],[200],Penguin
246,15-07-2021,9:05,"['Coffee beans special 200', 'Pour-over normal', 'Pour-over normal']","[600, 100, 100]",Penguin
247,15-07-2021,9:10,['Flat white'],[70],Penguin
248,16-07-2021,11:09,['Coffee beans 200'],[400],Rambo
249,16-07-2021,11:58,['Coffee beans 200'],[400],Rambo
250,16-07-2021,12:59,['Latte'],[70],Rambo
251,16-07-2021,13:14,"['Macchiato', 'Macchiato']","[75, 75]",Rambo
252,16-07-2021,14:29,"['Latte', 'Pour-over normal']","[70, 100]",Rambo
253,16-07-2021,16:20,['Pour-over normal'],[100],Rambo
254,16-07-2021,7:49,"['Latte', 'Flat white', 'Pour-over special']","[70, 70, 200]",Rambo
255,16-07-2021,8:54,['Americano'],[50],Rambo
256,16-07-2021,9:29,"['Flat white', 'Cappucino', 'Espresso shot']","[70, 70, 30]",Rambo
257,17-07-2021,10:47,['Coffee beans special 200'],[600],Medse
258,17-07-2021,12:51,"['Americano', 'Macchiato']","[50, 75]",Medse
259,17-07-2021,14:25,"['Americano', 'Macchiato']","[50, 75]",Medse
260,17-07-2021,15:07,['Pour-over normal'],[100],Medse
261,17-07-2021,16:41,['Pour-over special'],[200],Medse
262,18-07-2021,10:47,['Mocha'],[75],Medse
263,18-07-2021,10:54,"['Latte', 'Americano', 'Latte']","[70, 50, 70]",Medse
264,18-07-2021,11:54,"['Coffee beans special 200', 'Flat white']","[600, 70]",Medse
265,18-07-2021,12:04,"['Pour-over normal', 'Latte']","[100, 70]",Medse
266,18-07-2021,13:28,['Coffee beans 200'],[400],Medse
267,18-07-2021,13:34,['Cappucino'],[70],Medse
268,18-07-2021,13:45,"['Latte', 'Coffee beans special 200']","[70, 600]",Medse
269,18-07-2021,14:05,"['Mocha', 'Latte']","[75, 70]",Medse
270,18-07-2021,14:07,['Pour-over normal'],[100],Medse
271,18-07-2021,14:09,"['Mocha', 'Pour-over special', 'Macchiato']","[75, 200, 75]",Medse
272,18-07-2021,14:44,"['Latte', 'Latte', 'Pour-over normal', 'Pour-over normal']","[70, 70, 100, 100]",Medse
273,18-07-2021,15:49,"['Americano', 'Cappucino']","[50, 70]",Medse
274,18-07-2021,15:53,['Flat white'],[70],Medse
275,18-07-2021,16:08,['Cappucino'],[70],Medse
276,18-07-2021,16:45,"['Coffee beans special 200', 'Pour-over normal']","[600, 100]",Medse
277,18-07-2021,16:50,"['Pour-over special', 'Coffee beans special 200', 'Latte', 'Coffee beans special 200', 'Pour-over normal']","[200, 600, 70, 600, 100]",Medse
278,18-07-2021,7:24,"['Cappucino', 'Flat white']","[70, 70]",Medse
279,18-07-2021,8:00,['Macchiato'],[75],Medse
280,18-07-2021,8:09,"['Flat white', 'Flat white']","[70, 70]",Medse
281,18-07-2021,8:12,['Pour-over special'],[200],Medse
282,18-07-2021,8:25,['Flat white'],[70],Medse
283,18-07-2021,8:28,"['Macchiato', 'Latte', 'Pour-over normal']","[75, 70, 100]",Medse
284,18-07-2021,8:41,['Pour-over normal'],[100],Medse
285,19-07-2021,11:10,['Espresso shot'],[30],Rambo
286,19-07-2021,11:45,['Americano'],[50],Rambo
287,19-07-2021,12:06,"['Pour-over normal', 'Americano']","[100, 50]",Rambo
288,19-07-2021,13:16,['Flat white'],[70],Rambo
289,19-07-2021,13:32,['Pour-over normal'],[100],Rambo
290,19-07-2021,13:49,"['Macchiato', 'Flat white']","[75, 70]",Rambo
291,19-07-2021,14:00,"['Pour-over special', 'Pour-over special']","[200, 200]",Rambo
292,19-07-2021,15:10,"['Pour-over special', 'Espresso shot']","[200, 30]",Rambo
293,19-07-2021,15:30,['Coffee beans special 200'],[600],Rambo
294,19-07-2021,15:47,"['Latte', 'Coffee beans special 200']","[70, 600]",Rambo
295,19-07-2021,15:58,"['Coffee beans special 200', 'Flat white', 'Latte', 'Pour-over normal']","[600, 70, 70, 100]",Rambo
296,19-07-2021,16:09,['Americano'],[50],Rambo
297,19-07-2021,16:09,"['Pour-over special', 'Pour-over special']","[200, 200]",Rambo
298,19-07-2021,16:46,"['Cappucino', 'Latte']","[70, 70]",Rambo
299,19-07-2021,16:50,['Americano'],[50],Rambo
300,19-07-2021,7:04,"['Pour-over normal', 'Pour-over normal', 'Pour-over normal', 'Pour-over normal', 'Espresso shot']","[100, 100, 100, 100, 30]",Rambo
301,19-07-2021,8:09,['Cappucino'],[70],Rambo
302,19-07-2021,9:11,['Pour-over special'],[200],Rambo
303,19-07-2021,9:24,['Pour-over special'],[200],Rambo
304,20-07-2021,10:22,['Pour-over special'],[200],Penguin
305,20-07-2021,10:32,"['Coffee beans special 200', 'Pour-over normal']","[600, 100]",Penguin
306,20-07-2021,10:50,['Flat white'],[70],Penguin
307,20-07-2021,11:14,['Americano'],[50],Penguin
308,20-07-2021,11:16,"['Mocha', 'Latte']","[75, 70]",Penguin
309,20-07-2021,11:16,['Americano'],[50],Penguin
310,20-07-2021,11:31,"['Macchiato', 'Flat white', 'Coffee beans special 200', 'Flat white']","[75, 70, 600, 70]",Penguin
311,20-07-2021,11:33,"['Cappucino', 'Americano']","[70, 50]",Penguin
312,20-07-2021,11:37,"['Pour-over normal', 'Latte']","[100, 70]",Penguin
313,20-07-2021,12:23,['Flat white'],[70],Penguin
314,20-07-2021,12:29,['Mocha'],[75],Penguin
315,20-07-2021,12:44,"['Coffee beans special 200', 'Pour-over normal', 'Pour-over normal', 'Espresso shot', 'Coffee beans 200']","[600, 100, 100, 30, 400]",Penguin
316,20-07-2021,14:32,['Espresso shot'],[30],Penguin
317,20-07-2021,14:40,['Macchiato'],[75],Penguin
318,20-07-2021,14:45,"['Americano', 'Macchiato']","[50, 75]",Penguin
319,20-07-2021,15:24,"['Espresso shot', 'Cappucino']","[30, 70]",Penguin
320,20-07-2021,15:34,"['Espresso shot', 'Pour-over special', 'Pour-over special']","[30, 200, 200]",Penguin
321,20-07-2021,15:44,"['Macchiato', 'Macchiato', 'Americano']","[75, 75, 50]",Penguin
322,20-07-2021,15:59,['Pour-over normal'],[100],Penguin
323,20-07-2021,16:04,"['Macchiato', 'Cappucino']","[75, 70]",Penguin
324,20-07-2021,16:13,['Cappucino'],[70],Penguin
325,20-07-2021,16:40,['Latte'],[70],Penguin
326,20-07-2021,7:45,['Americano'],[50],Penguin
327,20-07-2021,7:50,['Latte'],[70],Penguin
328,20-07-2021,7:55,"['Coffee beans special 200', 'Macchiato']","[600, 75]",Penguin
329,20-07-2021,8:12,"['Macchiato', 'Mocha']","[75, 75]",Penguin
330,20-07-2021,8:30,['Coffee beans special 200'],[600],Penguin
331,20-07-2021,8:48,"['Pour-over normal', 'Flat white']","[100, 70]",Penguin
332,20-07-2021,9:00,['Pour-over special'],[200],Penguin
333,20-07-2021,9:19,"['Coffee beans 200', 'Pour-over normal']","[400, 100]",Penguin
334,21-07-2021,10:21,['Coffee beans 200'],[400],Rambo
335,21-07-2021,10:28,['Pour-over normal'],[100],Rambo
336,21-07-2021,10:38,"['Pour-over special', 'Cappucino', 'Espresso shot', 'Macchiato']","[200, 70, 30, 75]",Rambo
337,21-07-2021,11:11,"['Mocha', 'Cappucino', 'Latte']","[75, 70, 70]",Rambo
338,21-07-2021,11:47,['Pour-over normal'],[100],Rambo
339,21-07-2021,11:58,"['Pour-over normal', 'Espresso shot']","[100, 30]",Rambo
340,21-07-2021,12:36,"['Pour-over normal', 'Americano', 'Flat white', 'Espresso shot', 'Latte']","[100, 50, 70, 30, 70]",Rambo
341,21-07-2021,13:46,"['Pour-over normal', 'Americano']","[100, 50]",Rambo
342,21-07-2021,14:43,"['Macchiato', 'Pour-over normal', 'Latte', 'Mocha']","[75, 100, 70, 75]",Rambo
343,21-07-2021,15:34,"['Pour-over normal', 'Flat white']","[100, 70]",Rambo
344,21-07-2021,16:51,['Coffee beans special 200'],[600],Rambo
345,21-07-2021,16:56,['Pour-over special'],[200],Rambo
346,22-07-2021,10:04,"['Pour-over special', 'Coffee beans special 200']","[200, 600]",Penguin
347,22-07-2021,10:08,"['Macchiato', 'Latte']","[75, 70]",Penguin
348,22-07-2021,10:12,['Cappucino'],[70],Penguin
349,22-07-2021,10:43,['Americano'],[50],Penguin
350,22-07-2021,11:01,['Cappucino'],[70],Penguin
351,22-07-2021,11:19,"['Americano', 'Pour-over normal']","[50, 100]",Penguin
